metodo,media,min,mediana,max
cg,12.16538263968602,1.8929353489234968e-28,1.028757775411078e-10,629.4999999063715
cr,13.25701163682582,1.878643370752527e-29,4.069258320025933e-11,688.4999999000102
dwgm,6.959309707023389e12,1.3285014924207669e-20,0.0002942613931886484,3.6992690156662475e14
