264×10 DataFrame
 Row │ Nome                      n        nnz        metodo  it       normg        normg_c      xnorm        st   tempo
     │ Any                       Any      Any        Any     Any      Any          Any          Any          Any  Any
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 230 │ DNVS/shipsec1             140874   3568176    cr      704370   1.96855e6    1.96855e6    2.29122      1    3048.96
 231 │ DNVS/shipsec1             140874   3568176    dwgm    704370   4.22597e7    8.94328e12   1.58704      1    3269.13
 232 │ GHS_psdef/bmw7st_1        141347   7318399    cg      706735   6.42739e8    6.42739e8    1.69669      1    2953.73
 233 │ GHS_psdef/bmw7st_1        141347   7318399    cr      706735   1.86747e5    1.86747e5    1.31208      1    3014.1
 234 │ GHS_psdef/bmw7st_1        141347   7318399    dwgm    706735   8.36189e7    6.45243e15   11.136       1    3228.96
 235 │ GHS_psdef/bmwcra_1        148770   10641602   cg      743850   1301.53      1301.53      0.0223843    1    4198.94
 236 │ GHS_psdef/bmwcra_1        148770   10641602   cr      743850   0.288507     0.288507     0.0103718    1    4298.91
 237 │ GHS_psdef/bmwcra_1        148770   10641602   dwgm    743850   51.1572      7.32041e7    0.399129     1    4571.69
 238 │ DNVS/shipsec5             179860   4598604    cg      899300   16745.3      16745.1      1.22589      1    5000.62
 239 │ DNVS/shipsec5             179860   4598604    cr      899300   13.2862      13.2862      1.21337      1    5115.14
 240 │ DNVS/shipsec5             179860   4598604    dwgm    899300   13.2786      1.31713e6    1.21307      1    5504.48
 241 │ Boeing/pwtk               217918   11524432   cg      1089590  0.000971282  0.000974325  0.3036       1    7150.2
 242 │ Boeing/pwtk               217918   11524432   cr      1089590  1.62949e-5   1.62953e-5   0.386601     1    7361.19
 243 │ Boeing/pwtk               217918   11524432   dwgm    1089590  1.73714e-5   77.0758      0.412157     1    8011.28
 244 │ BenElechi/BenElechi1      245874   13150496   cg      1229370  0.00267666   0.00267666   0.0020038    1    8961.7
 245 │ BenElechi/BenElechi1      245874   13150496   cr      1229370  3.94869e-6   3.94876e-6   0.00265747   1    9181.8
 246 │ BenElechi/BenElechi1      245874   13150496   dwgm    1229370  0.00256974   2061.64      0.138228     1    10099.8
 247 │ Um/offshore               259789   4242673    cg      1298945  2.89384e13   2.89384e13   445.897      1    6534.57
 248 │ Um/offshore               259789   4242673    cr      1298945  1.91266e7    1.91266e7    1.81837      1    6813.32
 249 │ Um/offshore               259789   4242673    dwgm    1298945  3.38134e8    8.57929e15   1.84078      1    7695.09
 250 │ GHS_psdef/inline_1        503712   36816170   cg      2518560  36.4385      36.4385      0.010887     1    56659.3
 251 │ GHS_psdef/inline_1        503712   36816170   cr      2518560  0.0160341    0.0160341    0.0104063    1    51443.4
 252 │ GHS_psdef/inline_1        503712   36816170   dwgm    2518560  5.30534      1.25889e8    1.08277      1    56906.8
 253 │ Mazaheri/bundle_adj       513351   20207907   cg      2566755  1.17292e9    1.17292e9    4.209        1    33019.0
 254 │ Mazaheri/bundle_adj       513351   20207907   cr      2566755  11426.4      11426.4      1.95771      1    35171.9
 255 │ Mazaheri/bundle_adj       513351   20207907   dwgm    2566755  9.46507e6    5.08325e11   3.174        1    35716.3
 256 │ Janna/PFlow_742           742793   37138461   cg      3713965  34931.8      34931.8      5.01339      1    81044.4
 257 │ Janna/PFlow_742           742793   37138461   cr      3713965  3.87584      3.87584      2.53335      1    84711.6
 258 │ Janna/PFlow_742           742793   37138461   dwgm    3713965  228.193      5.00764e6    2.35142      1    91436.1
 259 │ Janna/Emilia_923          923136   40373538   cg      633156   9.59415e-8   49.6562      3.2363e-12   0    16748.8
 260 │ Janna/Emilia_923          923136   40373538   cr      539431   9.99835e-8   51.375       1.99274e-12  0    14798.6
 261 │ Janna/Emilia_923          923136   40373538   dwgm    4615680  7.7139e-54   5.8758e12    0.00359458   1    1.40425e5
 262 │ GHS_psdef/audikw_1        943695   77651847   cg      4718475  2.45631e7    2.45631e7    1.02048      1    225448.0
 263 │ GHS_psdef/audikw_1        943695   77651847   cr      4718475  273.397      273.397      0.524875     1    2.26714e5
 264 │ GHS_psdef/audikw_1        943695   77651847   dwgm    4718475  2.53701e5    1.2913e9     1.61679      1    2.40174e5
