264×10 DataFrame
 Row │ Nome                      n        nnz        metodo  it       normg        normg_c      xnorm        st   tempo
     │ Any                       Any      Any        Any     Any      Any          Any          Any          Any  Any
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  52 │ Mulvey/finan512           74752    596992     cg      54       9.05254e-8   9.05254e-8   3.85669e-8   0    0.0246723
  53 │ Mulvey/finan512           74752    596992     cr      53       9.09996e-8   9.09996e-8   8.9574e-8    0    0.025619
  54 │ Mulvey/finan512           74752    596992     dwgm    53       9.09996e-8   4.81766e-7   8.9574e-8    0    0.0300531
  55 │ GHS_psdef/apache1         80800    542184     cg      578      8.30448e-8   8.32733e-8   1.64855e-10  0    0.262692
  56 │ GHS_psdef/apache1         80800    542184     cr      528      8.86258e-8   8.86248e-8   1.77219e-9   0    0.254721
  57 │ GHS_psdef/apache1         80800    542184     dwgm    529      8.81432e-8   6.24138e-6   1.98288e-9   0    0.304191
  58 │ MaxPlanck/shallow_water1  81920    327680     cg      35       4.65138e-8   2.09808e-5   1.55431e-15  0    0.0151016
  59 │ MaxPlanck/shallow_water1  81920    327680     cr      35       6.03944e-8   1.90735e-5   1.55431e-15  0    0.0162317
  60 │ MaxPlanck/shallow_water1  81920    327680     dwgm    35       6.03944e-8   0.00199276   2.66454e-15  0    0.019403
  61 │ MaxPlanck/shallow_water2  81920    327680     cg      65       7.20699e-8   6.10352e-5   1.77636e-15  0    0.0273087
  62 │ MaxPlanck/shallow_water2  81920    327680     cr      66       5.65636e-8   6.10352e-5   1.77636e-15  0    0.0296977
  63 │ MaxPlanck/shallow_water2  81920    327680     dwgm    66       5.65636e-8   0.00908259   4.88498e-15  0    0.0358168
  64 │ Schmid/thermal1           82654    574458     cg      48       2.68044e-8   2.68044e-8   7.74632e-8   0    0.0460336
  65 │ Schmid/thermal1           82654    574458     cr      49       2.89307e-8   2.89307e-8   8.30476e-8   0    0.0488419
  66 │ Schmid/thermal1           82654    574458     dwgm    49       2.89307e-8   1.10976e-7   8.30476e-8   0    0.0535721
  67 │ Williams/consph           83334    6010480    cg      14884    9.27152e-8   9.25811e-8   9.99868e-8   0    31.3101
  68 │ Williams/consph           83334    6010480    cr      14787    9.59829e-9   9.59862e-9   9.99355e-8   0    31.6817
  69 │ Williams/consph           83334    6010480    dwgm    14822    9.5964e-9    1.49972e-5   9.99296e-8   0    33.5934
  70 │ Botonakis/thermomech_TC   102158   711558     cg      78       4.1917e-11   4.1917e-11   8.47505e-8   0    0.0842988
  71 │ Botonakis/thermomech_TC   102158   711558     cr      80       4.31461e-11  4.31461e-11  9.50351e-8   0    0.0898134
  72 │ Botonakis/thermomech_TC   102158   711558     dwgm    80       4.31461e-11  1.61723e-10  9.50351e-8   0    0.0997178
  73 │ Botonakis/thermomech_TK   102158   711558     cg      58       7.17291e-8   7.17292e-8   3.3727e-9    0    0.0637789
  74 │ Botonakis/thermomech_TK   102158   711558     cr      57       8.2625e-8    8.2625e-8    7.24724e-9   0    0.0647497
  75 │ Botonakis/thermomech_TK   102158   711558     dwgm    57       8.2625e-8    6.31017e-7   7.24724e-9   0    0.0715892
  76 │ Rothberg/cfd2             123440   3085406    cg      7023     2.1377e-11   2.13652e-11  9.98871e-8   0    10.2098
  77 │ Rothberg/cfd2             123440   3085406    cr      7225     1.17681e-12  1.16951e-12  9.99162e-8   0    10.7639
  78 │ Rothberg/cfd2             123440   3085406    dwgm    7227     1.16974e-12  1.75502e-9   9.99448e-8   0    11.819
  79 │ Oberwolfach/boneS01       127224   5516602    cg      2712     8.61894e-8   8.61273e-8   7.29708e-10  0    7.16359
  80 │ Oberwolfach/boneS01       127224   5516602    cr      2665     9.59162e-8   9.59308e-8   9.12628e-9   0    7.25844
  81 │ Oberwolfach/boneS01       127224   5516602    dwgm    2666     9.7635e-8    0.000182372  9.23463e-9   0    7.71467
  82 │ UTEP/Dubcova3             146689   3636643    cg      733445   6.3702e-8    6.37024e-8   2.87855e-5   1    1310.34
  83 │ UTEP/Dubcova3             146689   3636643    cr      733445   1.64932e-12  1.79612e-12  1.56914e-7   1    1362.35
  84 │ UTEP/Dubcova3             146689   3636643    dwgm    733445   2.87893e-5   4.99002      0.338162     1    1505.44
  85 │ AMD/G2_circuit            150102   726674     cg      9683     6.7882e-8    6.78656e-8   9.90243e-8   0    8.06728
  86 │ AMD/G2_circuit            150102   726674     cr      9998     1.2072e-9    1.20721e-9   9.99635e-8   0    8.5873
  87 │ AMD/G2_circuit            150102   726674     dwgm    10013    1.20627e-9   2.10696e-5   9.98934e-8   0    10.4833
  88 │ Botonakis/thermomech_dM   204316   1423116    cg      78       8.38339e-14  8.38339e-14  8.47505e-8   0    0.146176
  89 │ Botonakis/thermomech_dM   204316   1423116    cr      80       8.62923e-14  8.62923e-14  9.50351e-8   0    0.157626
  90 │ Botonakis/thermomech_dM   204316   1423116    dwgm    80       8.62923e-14  4.57423e-13  9.50351e-8   0    0.179076
  91 │ GHS_psdef/hood            220542   9895422    cg      34934    9.94822e-8   2.83122e-6   3.41451e-11  0    162.026
  92 │ GHS_psdef/hood            220542   9895422    cr      32375    9.98896e-8   2.29478e-6   9.32236e-10  0    154.137
  93 │ GHS_psdef/hood            220542   9895422    dwgm    32447    9.98817e-8   0.602878     1.2631e-9    0    164.451
  94 │ INPRO/msdoor              415863   19173163   cg      143967   9.91997e-8   3.65824e-6   6.98136e-10  0    1325.78
  95 │ INPRO/msdoor              415863   19173163   cr      132352   9.99533e-8   3.72529e-6   1.24642e-8   0    1244.69
  96 │ INPRO/msdoor              415863   19173163   dwgm    132617   9.99753e-8   1.57091      1.31402e-8   0    1352.4
  97 │ Schenk_AFE/af_0_k101      503625   17550675   cg      2518125  0.0266907    0.0266908    4.01819e-6   1    21477.3
  98 │ Schenk_AFE/af_0_k101      503625   17550675   cr      486577   9.99976e-8   5.47245e-6   7.18618e-8   0    4264.59
  99 │ Schenk_AFE/af_0_k101      503625   17550675   dwgm    2518125  1.28856      1.54335e6    0.294979     1    24663.1
 100 │ Schenk_AFE/af_1_k101      503625   17550675   cg      599740   9.95633e-8   6.35441e-6   1.91725e-8   0    5001.85
 101 │ Schenk_AFE/af_1_k101      503625   17550675   cr      2518125  2.23366e-15  9.19041e-6   1.21919e-7   1    21568.4
 102 │ Schenk_AFE/af_1_k101      503625   17550675   dwgm    2518125  2.80562      4.09921e6    0.274363     1    23777.1
 103 │ Schenk_AFE/af_2_k101      503625   17550675   cg      2518125  641.138      641.138      0.938912     1    20610.4
 104 │ Schenk_AFE/af_2_k101      503625   17550675   cr      2518125  0.00322732   0.00322479   0.000580659  1    21737.2
 105 │ Schenk_AFE/af_2_k101      503625   17550675   dwgm    2518125  4.23346      297381.0     0.760918     1    23684.0
 106 │ Schenk_AFE/af_3_k101      503625   17550675   cg      573968   9.5296e-8    1.41202e-5   3.73373e-8   0    4741.36
 107 │ Schenk_AFE/af_3_k101      503625   17550675   cr      428929   9.99889e-8   7.02019e-6   1.88017e-8   0    3639.91
 108 │ Schenk_AFE/af_3_k101      503625   17550675   dwgm    2518125  6.26778      2.61494e6    0.388913     1    23717.2
 109 │ Schenk_AFE/af_4_k101      503625   17550675   cg      865973   9.58549e-8   1.14909e-5   8.23805e-8   0    7197.16
 110 │ Schenk_AFE/af_4_k101      503625   17550675   cr      2518125  1.89255e-8   4.9483e-5    3.49867e-7   1    21445.7
 111 │ Schenk_AFE/af_4_k101      503625   17550675   dwgm    2518125  3.96674      4.8884e6     0.433515     1    23763.6
 112 │ Schenk_AFE/af_5_k101      503625   17550675   cg      449742   9.65801e-8   9.47621e-7   5.41227e-9   0    3703.89
 113 │ Schenk_AFE/af_5_k101      503625   17550675   cr      379801   9.99767e-8   1.85752e-6   3.2082e-8    0    3246.2
 114 │ Schenk_AFE/af_5_k101      503625   17550675   dwgm    2518125  4.34006      1.03229e7    0.339834     1    23944.9
 115 │ Schenk_AFE/af_shell3      504855   17562051   cg      4957     9.61948e-8   9.74978e-8   9.22928e-12  0    43.3191
 116 │ Schenk_AFE/af_shell3      504855   17562051   cr      4132     9.71615e-8   9.94478e-8   4.24829e-9   0    36.416
 117 │ Schenk_AFE/af_shell3      504855   17562051   dwgm    4166     9.7681e-8    0.000906418  3.7224e-9    0    40.4324
 118 │ Schenk_AFE/af_shell4      504855   17562051   cg      4957     9.61948e-8   9.74978e-8   9.22928e-12  0    41.4541
 119 │ Schenk_AFE/af_shell4      504855   17562051   cr      4132     9.71615e-8   9.94478e-8   4.24829e-9   0    35.5362
 120 │ Schenk_AFE/af_shell4      504855   17562051   dwgm    4166     9.7681e-8    0.000906418  3.7224e-9    0    39.3502
 121 │ Schenk_AFE/af_shell7      504855   17579155   cg      4951     9.05699e-8   8.73406e-8   9.78773e-12  0    42.5565
 122 │ Schenk_AFE/af_shell7      504855   17579155   cr      4115     9.73549e-8   9.66611e-8   4.30278e-9   0    36.2251
 123 │ Schenk_AFE/af_shell7      504855   17579155   dwgm    4146     9.75107e-8   0.000931801  3.9964e-9    0    40.1399
 124 │ Schenk_AFE/af_shell8      504855   17579155   cg      4951     9.05699e-8   8.73406e-8   9.78773e-12  0    42.1682
 125 │ Schenk_AFE/af_shell8      504855   17579155   cr      4115     9.73549e-8   9.66611e-8   4.30278e-9   0    35.8903
 126 │ Schenk_AFE/af_shell8      504855   17579155   dwgm    4146     9.75107e-8   0.000931801  3.9964e-9    0    39.6955
 127 │ Wissgott/parabolic_fem    525825   3674625    cg      1162     8.6475e-11   8.64749e-11  9.95627e-8   0    4.37488
 128 │ Wissgott/parabolic_fem    525825   3674625    cr      1254     2.68653e-12  2.68569e-12  9.88809e-8   0    4.99868
 129 │ Wissgott/parabolic_fem    525825   3674625    dwgm    1254     2.68653e-12  3.93809e-10  9.88795e-8   0    6.11696
 130 │ Janna/Fault_639           638802   27245944   cg      753553   9.36285e-8   629.5        6.37268e-12  0    10256.8
 131 │ Janna/Fault_639           638802   27245944   cr      689956   9.99898e-8   688.5        1.10378e-11  0    9706.52
 132 │ Janna/Fault_639           638802   27245944   dwgm    3194010  9.95725e-23  3.69927e14   0.0236934    1    47893.7
 133 │ GHS_psdef/apache2         715176   4817870    cg      527      8.25698e-8   8.26021e-8   1.39032e-10  0    2.74353
 134 │ GHS_psdef/apache2         715176   4817870    cr      477      9.88861e-8   9.88903e-8   1.99061e-9   0    2.65403
 135 │ GHS_psdef/apache2         715176   4817870    dwgm    477      9.90191e-8   1.06483e-5   1.99128e-9   0    3.28245
